chinese_name,english_name
巴什基尔国立农业大学,Bashkir State Agrarian University
巴什基尔国立医科大学,Bashkir State Medical University
巴什基尔国立师范大学,Bashkir State Pedagogical University named after M. Akmulla
巴什科尔托斯坦共和国总统巴什基尔国家行政与管理学院,Bashkir Academy of Public Service and Management
布拉戈维申斯克国立师范大学,Blagoveshchensk State Pedagogical University
布拉茨克国立大学,Bratsk State University
布良斯克国立大学,Bryansk State University named after Academician I.G. Petrovsky
布良斯克国立技术大学,Bryansk State Technical University
布里亚特国立农业学院,Buryat State Agricultural Academy named after V.R. Filippov
布里亚特国立大学,Buryat State University named after Dorzhi Banzarov
库兹巴斯国立技术大学,Kuzbass State Technical University
库兹涅佐夫海军学院,N.G. Kuznetsov Naval Academy
库尔干国立大学,Kurgan State University
库尔斯克国立医科大学,Kursk State Medical University
库尔斯克国立大学,Kursk State University
库班国立体育、运动与旅游大学,Kuban State University of Physical Education  Sport and Tourism
库班国立农业大学,Kuban State Agrarian University named after I.T. Trubilin
库班国立大学,Kuban State University
库班国立工艺大学,Kuban State Technological University
弗拉基米尔国立大学,Vladimir State University named after Alexander and Nikolay Stoletovs
彼尔姆国家研究型大学,Perm State National Research University
彼尔姆国家研究型理工大学,Perm National Research Polytechnic University
彼尔姆国立人文师范大学,Perm State Humanitarian Pedagogical University
彼尔姆国立农业技术大学,Perm State Agro-Technological University
彼尔姆国立医科大学,Perm State Medical University
彼得罗夫国家肿瘤医学研究中心,N.N. Petrov National Medical Research Center of Oncology
彼得罗扎沃茨克国立大学,Petrozavodsk State University
彼得罗扎沃茨克国立音乐学院,Petrozavodsk State Glazunov Conservatoire
托姆斯克国家研究型理工大学,National Research Tomsk Polytechnic University
托姆斯克国立师范大学,Tomsk State Pedagogical University
托姆斯克国立建筑大学,Tomsk State University of Architecture and Building
托姆斯克控制系统与无线电电子学国立大学,Tomsk State University of Control Systems and Radioelectronics
摩尔曼斯克北极大学,Murmansk Arctic University
斯塔夫罗波尔国立农业大学,Stavropol State Agrarian University
斯摩棱斯克国立大学,Smolensk State University
斯科尔科沃科学与技术学院,Skolkovo Institute of Science and Technology
新西伯利亚国家研究型国立大学,Novosibirsk State University
新西伯利亚国立农业大学,Novosibirsk State Agrarian University
新西伯利亚国立医科大学,Novosibirsk State Medical University
新西伯利亚国立师范大学,Novosibirsk State Pedagogical University
新西伯利亚国立建筑、设计与艺术大学,Novosibirsk State University of Architecture  Design and Arts
新西伯利亚国立建筑大学,Novosibirsk State University of Architecture and Civil Engineering
新西伯利亚国立戏剧学院,Novosibirsk State Theater Institute
新西伯利亚国立技术大学,Novosibirsk State Technical University
新西伯利亚国立经济与管理大学,Novosibirsk State University of Economics and Management
新西伯利亚国立音乐学院,Novosibirsk State Glinka Conservatory
普斯科夫国立大学,Pskov State University
朱可夫勋章与列宁勋章苏联元帅布琼尼红旗军事通信学院,Budyonny Military Academy of Communications
朱可夫空天防御军事学院,Zhukov Air and Space Defense Military Academy
杜布纳大学,University of Dubna
格罗兹尼国立石油技术大学,Grozny State Oil Technical University named after Academician M.D. Millionshchikov
梁赞国立医科大学,Ryazan State Medical University named after Academician I.P. Pavlov
梁赞国立大学,Ryazan State University named after S.A. Yesenin
楚瓦什国立大学,Chuvash State University named after I.N. Ulyanov
楚瓦什国立师范大学,Chuvash State Pedagogical University named after I.Y. Yakovlev
