chinese_name,english_name
黑龙江工程学院,Heilongjiang Institute of Technology
齐齐哈尔工程学院,Qiqihar Institute of Technology
黑龙江外国语学院,Heilongjiang International University
黑龙江财经学院,Heilongjiang University of Finance and Economic
哈尔滨石油学院,Harbin Institute of Petroleum
黑龙江工商学院,
哈尔滨远东理工学院,
哈尔滨剑桥学院,Harbin Cambridge University
黑龙江工程学院昆仑旅游学院,"Kunlun Tourism College, Heilongjiang Institute of Technology"
哈尔滨广厦学院,Harbin Guangsha College
哈尔滨华德学院,Harbin Huade University
黑河学院,Heihe University
哈尔滨音乐学院,Harbin Conservatory of Music
哈尔滨职业技术大学,
齐齐哈尔高等师范专科学校,
伊春职业学院,
牡丹江大学,
黑龙江职业学院,
黑龙江建筑职业技术学院,
黑龙江艺术职业学院,
大庆职业学院,
黑龙江林业职业技术学院,
黑龙江农业职业技术学院,
黑龙江农业工程职业学院,
黑龙江农垦职业学院,
黑龙江司法警官职业学院,
鹤岗师范高等专科学校,
哈尔滨电力职业技术学院,
哈尔滨铁道职业技术学院,
大兴安岭职业学院,
黑龙江农业经济职业学院,
哈尔滨传媒职业学院,
黑龙江商业职业学院,
黑龙江公安警官职业学院,
哈尔滨城市职业学院,
黑龙江旅游职业技术学院,
黑龙江三江美术职业学院,
黑龙江生态工程职业学院,
黑龙江能源职业学院,
七台河职业学院,
黑龙江民族职业学院,
大庆医学高等专科学校,
黑龙江交通职业技术学院,
哈尔滨应用职业技术学院,
黑龙江幼儿师范高等专科学校,
哈尔滨科学技术职业学院,
佳木斯职业学院,
黑龙江护理高等专科学校,
齐齐哈尔理工职业学院,
哈尔滨幼儿师范高等专科学校,
黑龙江冰雪体育职业学院,
哈尔滨北方航空职业技术学院,
哈尔滨商贸职业学院,
齐齐哈尔立德健康职业学院,
复旦大学,Fudan University
同济大学,Tongji University
上海交通大学,Shanghai Jiao Tong University
华东理工大学,East China University of Science and Technology
上海理工大学,University of Shanghai for Science and Technology
上海海事大学,Shanghai Maritime University
东华大学,Donghua University
上海电力大学,
上海应用技术大学,
上海健康医学院,Shanghai University of Medicine & Health Sciences
上海海洋大学,Shanghai Ocean University
上海中医药大学,Shanghai University of Traditional Chinese Medicine
华东师范大学,East China Normal University
上海师范大学,Shanghai Normal University
上海外国语大学,Shanghai International Studies University
上海财经大学,Shanghai University of Finance and Economics
上海对外经贸大学,Shanghai University of International Business and Economics
上海海关学院,Shanghai Customs College
华东政法大学,East China University of Political Science and Law
上海体育大学,
上海音乐学院,Shanghai Conservatory of Music
上海戏剧学院,Shanghai Theatre Academy
上海大学,Shanghai University
上海公安学院,
上海工程技术大学,Shanghai University of Engineering Science
上海立信会计金融学院,Shanghai Lixin University of Accounting and Finance
上海电机学院,
上海杉达学院,Sanda University
上海政法学院,Shanghai University of Political Science and Law
上海第二工业大学,Shanghai Second Polytechnic University
上海商学院,Shanghai Business School
上海立达学院,
上海建桥学院,Shanghai Jian Qiao University
上海兴伟学院,Xing Wei College
上海中侨职业技术大学,
上海视觉艺术学院,Shanghai Institute of Visual Arts
上海外国语大学贤达经济人文学院,"Xianda College of Economics and Humanities, Shanghai International Studies University"
上海师范大学天华学院,"Tianhua College, Shanghai Normal University"
上海科技大学,ShanghaiTech University
上海纽约大学,New York University Shanghai
上海旅游高等专科学校,
上海东海职业技术学院,
上海工商职业技术学院,
上海出版印刷高等专科学校,
上海行健职业学院,
上海城建职业学院,
上海交通职业技术学院,
上海海事职业技术学院,
上海电子信息职业技术学院,
上海震旦职业学院,
上海民远职业技术学院,
上海欧华职业技术学院,
上海思博职业技术学院,
上海工艺美术职业学院,
上海济光职业技术学院,
上海工商外国语职业学院,
上海科学技术职业学院,
上海农林职业技术学院,
上海邦德职业技术学院,
上海电影艺术职业学院,
上海中华职业技术学院,
上海工会管理职业学院,
上海民航职业技术学院,
上海南湖职业技术学院,
上海科创职业技术学院,
上海闵行职业技术学院,
上海现代化工职业学院,
上海建设管理职业技术学院,
上海浦东职业技术学院,
南京大学,Nanjing University
苏州大学,Soochow University
东南大学,Southeast University
南京航空航天大学,Nanjing University of Aeronautics and Astronautics
南京理工大学,Nanjing University of Science and Technology
江苏科技大学,
中国矿业大学,China University of Mining and Technology
南京工业大学,Nanjing Tech University
常州大学,Changzhou University
南京邮电大学,Nanjing University of Posts and Telecommunications
河海大学,Hohai University
江南大学,Jiangnan University
南京林业大学,Nanjing Forestry University
江苏大学,Jiangsu University
南京信息工程大学,Nanjing University of Information Science and Technology
南通大学,Nantong University
盐城工学院,Yancheng Institute of Technology
南京农业大学,Nanjing Agricultural University
南京医科大学,Nanjing Medical University
徐州医科大学,Xuzhou Medical University
南京中医药大学,Nanjing University of Chinese Medicine
中国药科大学,China Pharmaceutical University
南京师范大学,Nanjing Normal University
江苏师范大学,Jiangsu Normal University
淮阴师范学院,Huaiyin Normal University
盐城师范学院,Yancheng Teachers University
南京财经大学,Nanjing University of Finance and Economics
江苏警官学院,Jiangsu Police Institute
南京体育学院,Nanjing Sport Institute
南京艺术学院,Nanjing University of the Arts
苏州科技大学,Suzhou University of Science and Technology
苏州工学院,
南京工业职业技术大学,
淮阴工学院,Huaiyin Institute of Technology
常州工学院,Changzhou Institute of Technology
扬州大学,Yangzhou University
三江学院,Sanjiang University
南京工程学院,Nanjing Institute of Technology
南京审计大学,Nanjing Audit University
南京晓庄学院,Nanjing Xiaozhuang University
江苏理工学院,Jiangsu University of Technology
江苏海洋大学,
徐州工程学院,Xuzhou Institute of Technology
南京特殊教育师范学院,
南通理工学院,Nantong Institute of Technology
南京警察学院,
